csvData
country,hourlyMinimalWageEarnings,annualMinimalWageEarnings,pop2021
Luxembourg,13.7800,28603.9100,634.8140
Australia,12.1400,23975.6100,25788.2150
France,11.6600,20903.3300,65426.1790
New Zealand,11.2000,20932.4500,4860.6430
Germany,10.8700,22097.8600,83900.4730
Netherlands,10.4400,23520.5600,17173.0990
Belgium,10.3800,22133.3700,11632.3260
United Kingdom,10.3400,20053.0900,68207.1160
Ireland,9.6200,23447.0400,4982.9070
Canada,9.5200,20643.4100,38067.9030
Israel,7.9400,17713.1200,8789.7740
United States,7.2500,15080,332915.0730
South Korea,6.8400,19880.7500,51305.1860
Turkey,6.0500,12616.0200,85042.7380
Spain,5.8300,14289.7600,46745.2160
Portugal,5.7600,9584.7200,10167.9250
Slovenia,5.7200,15269.8700,2078.7240
Czech Republic,5.1700,10342.4400,10724.5550
Greece,4.9800,12128,10370.7440
Lithuania,4.7800,9365.1400,2689.8620
Latvia,4.3000,8969.7900,1866.9420
Slovakia,3.4300,10518.3900,5460.7210
Estonia,3.4000,7082.2700,1325.1850
Costa Rica,3.3700,9132.3000,5139.0520
Poland,3.3500,13214.8800,37797.0050
Hungary,2.9000,10669.4400,9634.1640
Colombia,2.6600,7768.4500,51265.8440
Russia,2.2700,4734.2400,145912.0250
Chile,2.2500,7319.5300,19212.3610
Brazil,2.1800,5114.2800,213993.4370
Mexico,1.0500,1193.7800,130262.2160
